ticker,company,gics_sector,start_date,end_date,delist_note
# ---------------------------------------------------------------------------
# POINT IN TIME S&P 600 + S&P 400 MEMBERSHIP STORE  (schema, read by universe.py)
# ---------------------------------------------------------------------------
# One row per (ticker, membership interval). A ticker that left and re entered
# an index has multiple rows.
#
#   ticker       yfinance normalized symbol (BRK.B -> BRK-B)
#   company      issuer name
#   gics_sector  GICS sector at time of membership (sector neutral grouping key)
#   start_date   first date the name was an index member (YYYY-MM-DD)
#   end_date     last date of membership; BLANK = still a member
#   delist_note  why it left: "delisted", "acquired", "promoted", "relegated",
#                "" if still a member. Names that left via "delisted" are the
#                survivorship cases backtest.py must carry to terminal value
#                (see diagnostics/survivorship_assert.py).
#
# is_member(ticker, date) := any row with start_date <= date <= (end_date or +inf)
#
# The universe is the UNION of the S&P 600 (SmallCap) and the S&P 400 (MidCap),
# so names that graduated out of the 600 up into the 400 are still scored and
# still match in the portfolio overlay.
#
# This file ships EMPTY of real rows. universe.py seeds it from current
# Wikipedia membership (600 + 400) on first run and warns LOUDLY that a current
# only snapshot is survivorship biased. Replace with a true point in time export
# from S&P Global / CRSP for a clean backtest. The two example rows below are
# commented out and exist only to document the format.
#
# AAPL,Apple Inc.,Information Technology,1996-06-01,1997-12-31,promoted
# XYZQ,Defunct Co,Industrials,2018-03-19,2020-11-04,delisted
AAMI,Acadian Asset Management Inc.,Financials,2026-07-04,,
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,2026-07-04,,
AAT,American Assets Trust,Real Estate,2026-07-04,,
ABCB,Ameris Bancorp,Financials,2026-07-04,,
ABG,Asbury Automotive Group,Consumer Discretionary,2026-07-04,,
ABM,"ABM Industries, Inc.",Industrials,2026-07-04,,
ABR,Arbor Realty Trust,Financials,2026-07-04,,
ACA,"Arcosa, Inc.",Industrials,2026-07-04,,
ACAD,Acadia Pharmaceuticals,Health Care,2026-07-04,,
ACHC,Acadia Healthcare,Health Care,2026-07-04,,
ACIW,ACI Worldwide,Information Technology,2026-07-04,,
ACLS,"Axcelis Technologies, Inc.",Information Technology,2026-07-04,,
ACMR,"ACM Research, Inc.",Information Technology,2026-07-04,,
ACT,"Enact Holdings, Inc.",Financials,2026-07-04,,
ADAM,"Adamas Trust, Inc.",Real Estate,2026-07-04,,
ADEA,"Adeia, Inc.",Information Technology,2026-07-04,,
ADMA,"ADMA Biologics, Inc.",Health Care,2026-07-04,,
ADNT,Adient,Consumer Discretionary,2026-07-04,,
ADT,ADT Inc.,Consumer Discretionary,2026-07-04,,
ADUS,Addus HomeCare Corp.,Health Care,2026-07-04,,
AEO,American Eagle Outfitters,Consumer Discretionary,2026-07-04,,
AESI,"Atlas Energy Solutions, Inc.",Energy,2026-07-04,,
AGNT,"eXp World Holdings, Inc.",Real Estate,2026-07-04,,
AGO,Assured Guaranty Ltd.,Financials,2026-07-04,,
AGX,"Argan, Inc.",Industrials,2026-07-04,,
AGYS,"Agilysys, Inc.",Information Technology,2026-07-04,,
AHCO,AdaptHealth Corp.,Health Care,2026-07-04,,
AIN,Albany International Corp.,Industrials,2026-07-04,,
AIR,AAR CORP.,Industrials,2026-07-04,,
AKR,Acadia Realty Trust,Real Estate,2026-07-04,,
ALG,Alamo Group,Industrials,2026-07-04,,
ALGT,Allegiant Travel Company,Industrials,2026-07-04,,
ALHC,"Alignment Healthcare, Inc.",Health Care,2026-07-04,,
ALKS,Alkermes plc,Health Care,2026-07-04,,
ALRM,"Alarm.Com, Inc.",Financials,2026-07-04,,
AMN,"Amn Healthcare Services, Inc.",Health Care,2026-07-04,,
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,2026-07-04,,
AMR,"Alpha Metallurgical Resources, Inc.",Materials,2026-07-04,,
AMRX,Amneal Pharmaceuticals,Health Care,2026-07-04,,
AMSF,"Amerisafe, Inc.",Financials,2026-07-04,,
AMTM,Amentum,Industrials,2026-07-04,,
ANDE,"The Andersons, Inc.",Consumer Staples,2026-07-04,,
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,2026-07-04,,
AORT,Artivion,Health Care,2026-07-04,,
AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology,2026-07-04,,
APAM,"Artisan Partners Asset Management, Inc.",Financials,2026-07-04,,
APLE,"Apple Hospitality REIT, Inc.",Real Estate,2026-07-04,,
APOG,"Apogee Enterprises, Inc.",Industrials,2026-07-04,,
ARCB,ArcBest Corp.,Industrials,2026-07-04,,
ARLO,Arlo Technologies,Information Technology,2026-07-04,,
AROC,"Archrock, Inc.",Energy,2026-07-04,,
ARR,Armour Residential REIT,Real Estate,2026-07-04,,
ASO,Academy Sports + Outdoors,Consumer Discretionary,2026-07-04,,
ASTE,"Astec Industries, Inc.",Industrials,2026-07-04,,
ASTH,"Astrana Health, Inc.",Health Care,2026-07-04,,
ATEN,"A10 Networks, Inc.",Information Technology,2026-07-04,,
ATMU,Atmus Filtration Technologies Inc.,Industrials,2026-07-04,,
AUB,"Atlantic Union Bankshares, Corp.",Financials,2026-07-04,,
AVA,Avista Corporation,Utilities,2026-07-04,,
AVNS,"Avanos Medical, Inc.",Health Care,2026-07-04,,
AWI,"Armstrong World Industries, Inc.",Industrials,2026-07-04,,
AWR,American States Water Company,Utilities,2026-07-04,,
AX,"Axos Financial, Inc.",Financials,2026-07-04,,
AZTA,"Azenta, Inc.",Health Care,2026-07-04,,
AZZ,"AZZ, Inc.",Industrials,2026-07-04,,
BANC,"Banc Of California, Inc.",Financials,2026-07-04,,
BANF,Bancfirst Corp,Financials,2026-07-04,,
BANR,Banner Corporation,Financials,2026-07-04,,
BBT,Beacon Financial Corp.,Financials,2026-07-04,,
BCC,Boise Cascade,Industrials,2026-07-04,,
BCPC,Balchem Corporation,Materials,2026-07-04,,
BFAM,Bright Horizons Family Solutions Inc.,Consumer Discretionary,2026-07-04,,
BFH,"Bread Financial Holdings, Inc.",Financials,2026-07-04,,
BFS,"Saul Centers, Inc.",Real Estate,2026-07-04,,
BGC,"BGC Group, Inc.",Financials,2026-07-04,,
BHE,"Benchmark Electronics, Inc.",Information Technology,2026-07-04,,
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,2026-07-04,,
BKE,"The Buckle, Inc.",Consumer Discretionary,2026-07-04,,
BKU,"BankUnited, Inc.",Financials,2026-07-04,,
BL,"BlackLine Systems, Inc.",Information Technology,2026-07-04,,
BLFS,"BioLife Solutions, Inc.",Health Care,2026-07-04,,
BMI,"Badger Meter, Inc.",Information Technology,2026-07-04,,
BNL,"Broadstone Net Lease, Inc.",Real Estate,2026-07-04,,
BOH,Bank of Hawaii,Financials,2026-07-04,,
BOOT,"Boot Barn Holdings, Inc.",Consumer Discretionary,2026-07-04,,
BOX,"Box, Inc.",Information Technology,2026-07-04,,
BRC,Brady Corporation,Industrials,2026-07-04,,
BTSG,"BrightSpring Health Services, Inc.",Health Care,2026-07-04,,
BTU,"Peabody Energy, Inc.",Energy,2026-07-04,,
BXMT,"Blackstone Mortgage Trust, Inc.",Financials,2026-07-04,,
CABO,Cable One,Communication Services,2026-07-04,,
CAG,Conagra Brands,Consumer Staples,2026-07-04,,
CAKE,"The Cheesecake Factory, Inc.",Consumer Discretionary,2026-07-04,,
CALM,"Cal-Maine Foods, Inc.",Consumer Staples,2026-07-04,,
CALX,Calix,Information Technology,2026-07-04,,
CALY,Callaway Golf Company,Consumer Discretionary,2026-07-04,,
CARG,CarGurus,Communication Services,2026-07-04,,
CASH,"Pathward Financial, Inc.",Financials,2026-07-04,,
CATY,Cathay General Bancorp,Financials,2026-07-04,,
CBRL,Cracker Barrel,Consumer Discretionary,2026-07-04,,
CBU,"Community Bank System, Inc.",Financials,2026-07-04,,
CC,Chemours,Materials,2026-07-04,,
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,2026-07-04,,
CCS,"Century Communities, Inc.",Consumer Discretionary,2026-07-04,,
CE,Celanese,Materials,2026-07-04,,
CENT,Central Garden & Pet Company,Consumer Staples,2026-07-04,,
CENTA,Central Garden & Pet Company (Class A),Consumer Staples,2026-07-04,,
CENX,Century Aluminum Company,Materials,2026-07-04,,
CERT,"Certara, Inc.",Health Care,2026-07-04,,
CFFN,Capitol Federal Savings Bank,Financials,2026-07-04,,
CHCO,City Holding Company,Financials,2026-07-04,,
CHEF,"Chefs' Warehouse, Inc.",Consumer Staples,2026-07-04,,
CLB,Core Laboratories,Energy,2026-07-04,,
CLSK,"CleanSpark, Inc.",Information Technology,2026-07-04,,
CNK,"Cinemark Holdings, Inc.",Communication Services,2026-07-04,,
CNMD,CONMED Corporation,Health Care,2026-07-04,,
CNR,"Core Natural Resources, Inc.",Energy,2026-07-04,,
CNS,"Cohen & Steers, Inc.",Financials,2026-07-04,,
CNXN,"PC Connection, Inc.",Information Technology,2026-07-04,,
COCO,The Vita Coco Company,Consumer Staples,2026-07-04,,
COHU,"Cohu, Inc.",Information Technology,2026-07-04,,
COLL,"Collegium Pharmaceutical, Inc.",Health Care,2026-07-04,,
CON,"Concentra Group Holdings Parent, Inc.",Health Care,2026-07-04,,
CORT,Corcept Therapeutics Incorporated,Health Care,2026-07-04,,
CPF,Central Pacific Financial Corp.,Financials,2026-07-04,,
CPK,Chesapeake Utilities Corp.,Utilities,2026-07-04,,
CPRX,"Catalyst Pharmaceuticals Partners, Inc.",Health Care,2026-07-04,,
CRC,California Resources Corporation,Energy,2026-07-04,,
CRGY,Crescent Energy Company,Energy,2026-07-04,,
CRI,"Carter's, Inc.",Consumer Discretionary,2026-07-04,,
CRK,"Comstock Resources, Inc.",Energy,2026-07-04,,
CRSR,Corsair Gaming,Information Technology,2026-07-04,,
CRVL,CorVel Corporation,Health Care,2026-07-04,,
CSR,Centerspace Trust,Real Estate,2026-07-04,,
CSW,"CSW Industrials, Inc.",Industrials,2026-07-04,,
CTKB,"Cytek Biosciences, Inc.",Health Care,2026-07-04,,
CTS,CTS Corporation,Information Technology,2026-07-04,,
CUBI,"Customers Bancorp, Inc.",Financials,2026-07-04,,
CURB,Curbline Properties Corp.,Real Estate,2026-07-04,,
CVBF,CVB Financial Corp.,Financials,2026-07-04,,
CVCO,"Cavco Industries, Inc.",Consumer Discretionary,2026-07-04,,
CVI,"CVR Energy, Inc.",Energy,2026-07-04,,
CVSA,Covista Inc.,Consumer Discretionary,2026-07-04,,
CWEN,"Clearway Energy, Inc. (Class C)",Utilities,2026-07-04,,
CWEN-A,"Clearway Energy, Inc. (Class A)",Utilities,2026-07-04,,
CWK,Cushman & Wakefield plc,Real Estate,2026-07-04,,
CWST,"Casella Waste Systems, Inc.",Industrials,2026-07-04,,
CWT,California Water Service Group,Utilities,2026-07-04,,
CXM,"Sprinklr, Inc.",Information Technology,2026-07-04,,
CXW,CoreCivic,Industrials,2026-07-04,,
CZR,Caesars Entertainment,Consumer Discretionary,2026-07-04,,
DAN,Dana Incorporated,Consumer Discretionary,2026-07-04,,
DAVE,"Dave, Inc.",Financials,2026-07-04,,
DBD,Diebold Nixdorf,Information Technology,2026-07-04,,
DCH,Dauch Corporation,Consumer Discretionary,2026-07-04,,
DCOM,"Dime Community Bancshares, Inc.",Financials,2026-07-04,,
DEA,"Easterly Government Properties, Inc.",Real Estate,2026-07-04,,
DEI,Douglas Emmett,Real Estate,2026-07-04,,
DFH,"Dream Finders Homes, Inc.",Consumer Discretionary,2026-07-04,,
DFIN,"Donnelley Financial Solutions, Inc.",Financials,2026-07-04,,
DGII,Digi International Inc.,Information Technology,2026-07-04,,
DIOD,Diodes Incorporated,Information Technology,2026-07-04,,
DLX,Deluxe Corporation,Industrials,2026-07-04,,
DNOW,NOW Inc,Industrials,2026-07-04,,
DORM,"Dorman Products, Inc.",Consumer Discretionary,2026-07-04,,
DRH,DiamondRock Hospitality Company,Real Estate,2026-07-04,,
DV,"DoubleVerify Holdings, Inc.",Communication Services,2026-07-04,,
DXC,DXC Technology,Information Technology,2026-07-04,,
DXPE,"DXP Enterprises, Inc.",Industrials,2026-07-04,,
EAT,"Brinker International, Inc.",Consumer Discretionary,2026-07-04,,
ECG,"Everus Construction Group, Inc.",Industrials,2026-07-04,,
ECPG,"Encore Capital Group, Inc.",Financials,2026-07-04,,
EFC,"Ellington Financial, Inc.",Financials,2026-07-04,,
EFOR,Everforth Inc.,Information Technology,2026-07-04,,
EGBN,Eagle Bancorp Inc,Financials,2026-07-04,,
EIG,"Employers Holdings, Inc.",Financials,2026-07-04,,
EMBC,Embecta Corp.,Health Care,2026-07-04,,
EMN,Eastman Chemical Company,Materials,2026-07-04,,
ENOV,Enovis,Health Care,2026-07-04,,
ENPH,Enphase Energy,Information Technology,2026-07-04,,
ENR,Energizer,Consumer Staples,2026-07-04,,
ENVA,"Enova International, Inc.",Financials,2026-07-04,,
